student_id,jamb_attempts_count,jamb_year_most_recent,jamb_score_most_recent,school_type,school_location,gender,age_when_took_jamb,study_hours_per_day,study_resources,attended_extra_tutorials,consistent_study_schedule,study_plan_adherence,guardian_education_level,access_to_computer_smartphone,household_dependents,internet_reliability,access_to_textbooks,electricity_consistency,quality_of_instruction,familiar_with_cbt,arrived_early_exam_center,biggest_challenge,advice_to_future_candidate
194,2,2025,155,Public/Government,Urban,Male,15-17 years,2-3 hours,Private lessons,No,Sometimes,Often,,Yes,1-2 dependents,Moderately Reliable,Some of them,Daily,Good,Yes,"Yes, a little early",Network problem ,Upgrading of system 
195,1,2024,104,Public/Government,Rural,Female,21-23 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",No,No,Sometimes,,No,1-2 dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, a little early",Distraction ,Read o
196,2,2023,215,Public/Government,Rural,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Sometimes,Always,Tertiary,Yes,6-8 dependents,Very Reliable,Some of them,A few days a week,Poor,Yes,"Yes, significantly early",Trying to score everything you read,Read hard and study smart
197,1,2024,179,Public/Government,Urban,Female,21-23 years,1-2 hours,"Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Sometimes,Often,,Yes,1-2 dependents,No Access,Some of them,Never,Excellent,Yes,"Yes, significantly early",Literature ,Let's them  keep praying and stay focus 
198,1,2024,149,Private,Urban,Male,15-17 years,1-2 hours,"Past questions, Textbooks, Study groups",Yes,Yes,Often,Tertiary,Yes,3-5 dependents,No Access,Some of them,Most days,Poor,No,"Yes, significantly early",Access to electricity ,study hard
199,1,2021,160,Private,Rural,Male,18-20 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",Yes,Yes,Always,Tertiary,No,6-8 dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Being consistent in the reading,pray
200,1,2024,189,Private,Urban,Female,15-17 years,1-2 hours,Past questions,Yes,Yes,Often,Tertiary,No,9+ dependents,Moderately Reliable,Some of them,A few days a week,Poor,Yes,"Yes, a little early",Studying materials,Read hard
201,2,2024,191,Public/Government,Rural,Male,21-23 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,No,Often,,Yes,6-8 dependents,Moderately Reliable,Some of them,A few days a week,Excellent,No,"Yes, a little early",The aspect of not knowing one's exams center before the exam's day,Be prepared and do not be afraid 
202,1,2020,186,Public/Government,Urban,Female,18-20 years,3-4 hours,Textbooks,No,No,Often,Secondary,Yes,1-2 dependents,Moderately Reliable,Some of them,Most days,Average,No,"Yes, significantly early",Sourcing for past questions and video tutorials ,Read o
203,1,2020,158,Public/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Secondary,No,3-5 dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",The question,Read well
204,1,2024,102,Public/Government,Urban,Male,21-23 years,1-2 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Often,Tertiary,Yes,3-5 dependents,No Access,Very few,Most days,Average,Yes,"Yes, significantly early",Access to internet ,study hard and prepare yourself for the exam.
205,1,2021,110,Public/Government,Urban,Male,15-17 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Primary,Yes,1-2 dependents,Slightly Reliable,Some of them,Daily,Poor,Yes,"Yes, significantly early",Self doubt ,study hard
206,2,2024,103,Public/Government,Rural,Female,15-17 years,4+ hours,Physical tutorials/coaching centers,Yes,Yes,Always,Tertiary,Yes,9+ dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Getting enough materials,A more precise syllabus 
207,3,2020,233,Public/Government,Urban,Male,15-17 years,1-2 hours,"Past questions, Online tutorials/videos",No,No,Always,Secondary,Yes,1-2 dependents,Very Reliable,Some of them,A few days a week,Average,Yes,"Yes, a little early",System malfunctioning,Come early 
208,1,2023,108,Public/Government,Urban,Male,18-20 years,1-2 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",No,Yes,Often,Secondary,No,3-5 dependents,Very Reliable,Very few,Rarely,Average,No,"Yes, a little early",My laptop went off all of a sudden,Study hard before you plan to write Exams 
209,1,2023,183,Public/Government,Rural,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",Yes,No,Always,Tertiary,Yes,3-5 dependents,No Access,"Yes, all",A few days a week,Poor,No,"Yes, a little early",The aspect of not knowing one's exams center before the exam's day,Read your books very well and pray a lot and study past questions too
210,1,2024,219,Public/Government,Urban,Female,18-20 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Tertiary,Yes,9+ dependents,No Access,Most of them,Daily,Average,Yes,"Yes, significantly early",Financial issues ,"Register early, go to jamb centers for jamb lesson, personal reading n most importantly be familiar with your computer n know how to use it"
211,1,2024,249,Public/Government,Rural,Male,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,No,Often,Secondary,Yes,6-8 dependents,Moderately Reliable,Some of them,Daily,Very Poor,Yes,"Yes, significantly early",I had to go to travel to a very far place to write for the exam ,They should do better in their timing 
212,3,2024,170,Public/Government,Rural,Female,21-23 years,3-4 hours,Physical tutorials/coaching centers,No,Yes,Often,Secondary,No,1-2 dependents,Moderately Reliable,Most of them,A few days a week,Very Poor,No,"Yes, a little early",no challenge ,Study consistently long before your exam.
213,1,2024,102,Public/Government,Urban,Female,21-23 years,2-3 hours,Online tutorials/videos,No,Yes,Often,,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Very Poor,Yes,"Yes, significantly early",Network issue ,Read and trust God in all you do 
214,2,2023,148,Public/Government,Rural,Male,18-20 years,2-3 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",No,Sometimes,Always,Tertiary,Yes,3-5 dependents,Very Reliable,Most of them,Most days,Average,No,"Yes, a little early",Nothing just nerves on edge,"I'd ask them to read well, really well."
215,3,2024,150,Public/Government,Rural,Female,21-23 years,<1 hour,"Past questions, Textbooks",Yes,Yes,Sometimes,,Yes,1-2 dependents,Moderately Reliable,Some of them,Most days,Very Poor,No,"Yes, a little early",Self doubt ,Read well 
216,1,2022,214,Private,Rural,Female,18-20 years,2-3 hours,Physical tutorials/coaching centers,No,Yes,Often,Tertiary,No,3-5 dependents,Moderately Reliable,"Yes, all",Never,Average,Yes,"Yes, significantly early",Ability to fully concentrate without distractions from people ,Study hard 
217,3,2021,224,Public/Government,Urban,Male,18-20 years,3-4 hours,Textbooks,Yes,Sometimes,Always,Primary,Yes,6-8 dependents,No Access,Some of them,Never,Good,Yes,"Yes, a little early",Electric power supply,Study hard 
218,3,2021,211,Private,Rural,Female,21-23 years,4+ hours,Textbooks,Yes,No,Often,Secondary,Yes,1-2 dependents,Slightly Reliable,Very few,A few days a week,Very Poor,Yes,"Yes, significantly early",Fear and my system went off while taking the exam. ,"Don't be scared if you studied then all you have to do is be calm, pray and write what you know. Its not difficult till you make it seem like it is. "
219,4,2023,149,Private,Urban,Male,18-20 years,1-2 hours,"Past questions, Textbooks",Yes,Yes,Often,,No,3-5 dependents,Moderately Reliable,Most of them,Daily,Poor,Yes,"Yes, significantly early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,pray
220,1,2023,148,Public/Government,Rural,Female,18-20 years,1-2 hours,"Past questions, Online tutorials/videos",Yes,Yes,Often,Primary,No,1-2 dependents,Moderately Reliable,"Yes, all",Rarely,Poor,Yes,"Yes, significantly early",House chores ,Come early 
221,3,2021,198,Public/Government,Rural,Male,18-20 years,<1 hour,Textbooks,Yes,Yes,Often,Tertiary,No,9+ dependents,Slightly Reliable,"Yes, all",A few days a week,Average,Yes,"Yes, a little early",I had to go to travel to a very far place to write for the exam ,Read daily and study past questions
222,1,2023,178,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,Most days,Poor,Yes,"Yes, significantly early",Being consistent in the reading,"If I could give one piece of advice to a future JAMB candidate, it would be to start preparing early and stay consistent. Dont wait until its too close to the exam before you take it seriously. Focus on understanding your subjects, especially the ones youre not strong in, and practice past questions regularly. Also, get familiar with the CBT system so youre not confused on the exam day. Its normal to feel nervous, but dont let fear control you. Trust in your preparation, stay focused, and put your confidence in God. With steady effort and the right mindset, youll be fine."
223,1,2020,194,Public/Government,Urban,Male,21-23 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",No,No,Often,Tertiary,No,6-8 dependents,Moderately Reliable,"Yes, all",A few days a week,Average,No,"Yes, significantly early",I had to go to travel to a very far place to write for the exam ,Read consistently and try locating the venue of the exam before the day.
224,1,2020,112,Private,Rural,Male,21-23 years,3-4 hours,Private lessons,Yes,Yes,Often,,Yes,6-8 dependents,No Access,Some of them,Most days,Very Poor,No,"Yes, a little early",Forgetting what I studied after 2 or 3 days,"I'd ask them to read well, really well."
225,1,2024,228,Public/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Primary,Yes,3-5 dependents,Slightly Reliable,Some of them,Most days,Good,No,"Yes, a little early","Computer disorder, waiting for hours before going in..","Don't rely only on pass question, read your notes book or text book before studying pass question "
226,2,2022,214,Public/Government,Rural,Male,18-20 years,4+ hours,"Past questions, Physical tutorials/coaching centers, Private lessons",Yes,No,Often,Secondary,Yes,6-8 dependents,Very Reliable,Some of them,Daily,Good,Yes,"Yes, a little early",Transportation ,They should do better in their timing 
227,1,2025,188,Public/Government,Urban,Male,21-23 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Study groups",Yes,Yes,Often,Tertiary,Yes,1-2 dependents,No Access,Some of them,A few days a week,Poor,Yes,"Yes, a little early",Self doubt ,Always be consistent in your study plan and get yourself familiar with computer 
228,1,2023,145,Private,Rural,Male,21-23 years,2-3 hours,Past questions,Yes,Yes,Often,Primary,No,3-5 dependents,Moderately Reliable,Some of them,A few days a week,Average,Yes,"Yes, a little early",Getting enough materials,Always be consistent in your study plan and get yourself familiar with computer 
229,1,2020,182,Private,Urban,Male,21-23 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,No,Often,Secondary,No,3-5 dependents,Moderately Reliable,"Yes, all",A few days a week,Very Poor,Yes,"Yes, a little early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,Read o
230,1,2024,183,Public/Government,Rural,Male,21-23 years,1-2 hours,Past questions,No,Yes,Always,Secondary,Yes,6-8 dependents,Very Reliable,Very few,A few days a week,Poor,No,"Yes, significantly early",Access to electricity ,"Read textbook and notes book before studying pass question, don't only study pass question "
231,1,2025,207,Public/Government,Rural,Female,18-20 years,2-3 hours,Past questions,Yes,Yes,Often,Secondary,Yes,6-8 dependents,Moderately Reliable,Some of them,Daily,Very Poor,Yes,"Yes, a little early",Solving past questions ,Study hard 
232,1,2020,224,Public/Government,Rural,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Primary,Yes,3-5 dependents,Moderately Reliable,No,Rarely,Average,No,"Yes, a little early",Delay,"Start preparing early because there's actually no time to waste
I was told that as well and I felt like there's still much time left and I think that quite affected my score
I started serious preparation like January/February"
233,1,2024,100,Public/Government,Rural,Female,21-23 years,<1 hour,Past questions,Yes,Yes,Often,Secondary,No,6-8 dependents,Slightly Reliable,"Yes, all",Most days,Good,Yes,"Yes, a little early",My center is far,To study ahead and make researches
234,2,2024,154,Private,Urban,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,,Yes,6-8 dependents,No Access,"Yes, all",Daily,Poor,Yes,"Yes, a little early",Not having enough material for studying ,Study and rest well
235,1,2024,270,Public/Government,Urban,Female,15-17 years,3-4 hours,Physical tutorials/coaching centers,No,Yes,Always,Primary,No,3-5 dependents,Slightly Reliable,Most of them,Most days,Excellent,Yes,"Yes, significantly early",Forgetting what I studied after 2 or 3 days,Study consistently long before your exam.
236,1,2025,221,Public/Government,Rural,Male,21-23 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos, Study groups",Yes,Sometimes,Often,Primary,No,9+ dependents,Moderately Reliable,"Yes, all",A few days a week,Average,No,"Yes, significantly early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,Upgrading of system 
237,1,2021,131,Public/Government,Rural,Female,15-17 years,2-3 hours,"Past questions, Textbooks",No,Yes,Often,,No,6-8 dependents,Moderately Reliable,"Yes, all",Daily,Average,No,"Yes, a little early","Time management, delay in registration and issues with profile code, not being able to change your email is an error occurred while uploading, hanging computer systems, and lastly disorganization at my JAMB center(We waited for hours before the exam started, and by then, I was already tired and anxious. It affected my concentration a bit, but I had to push through and focus)",Be prepared and do not be afraid 
238,1,2020,125,Public/Government,Rural,Male,18-20 years,3-4 hours,Private lessons,Yes,Yes,Often,Secondary,Yes,1-2 dependents,Slightly Reliable,No,A few days a week,Average,Yes,"Yes, significantly early",Fear,You can do it
239,1,2022,256,Public/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Tertiary,Yes,3-5 dependents,No Access,No,Rarely,Average,No,"Yes, a little early","Computer disorder, waiting for hours before going in..",Always study and be prayerful
240,4,2022,196,Private,Urban,Male,15-17 years,1-2 hours,Textbooks,Yes,Yes,Often,Primary,No,6-8 dependents,Slightly Reliable,Most of them,Daily,Poor,Yes,"Yes, a little early",Time and place to study,Use every opportunity of your time to study
241,2,2025,204,Public/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Tertiary,No,1-2 dependents,Very Reliable,"Yes, all",Most days,Good,No,"Yes, significantly early",Information overload ,Read and study hard to get the right score for the school you want to apply for.....If not U will keep writing Jamb every year.
242,1,2023,196,Private,Rural,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Study groups",Yes,Yes,Often,Tertiary,Yes,9+ dependents,Moderately Reliable,Some of them,Daily,Good,No,"Yes, a little early",Financial issues ,They should read all the necessary books and pass
243,2,2020,152,Public/Government,Rural,Male,15-17 years,1-2 hours,Textbooks,Yes,Yes,Often,,Yes,3-5 dependents,Very Reliable,Some of them,Most days,Average,No,"Yes, a little early",Covering the entire Jamb syllabus ,Study consistently long before your exam.
244,1,2024,200,Public/Government,Rural,Female,15-17 years,2-3 hours,Past questions,No,Yes,Often,,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Average,No,"Yes, significantly early",Cant remember ,They should do better in their timing 
245,1,2020,146,Public/Government,Rural,Male,18-20 years,3-4 hours,Past questions,Yes,Yes,Always,Secondary,Yes,6-8 dependents,No Access,Most of them,Daily,Average,Yes,"Yes, a little early",Studying English sounds ,Read well 
246,1,2024,129,Public/Government,Rural,Female,21-23 years,3-4 hours,Past questions,No,No,Often,Primary,No,6-8 dependents,No Access,Some of them,A few days a week,Average,Yes,"Yes, significantly early",Being consistent in the reading,Make sure you read alot
247,3,2024,149,Public/Government,Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Sometimes,Often,Tertiary,Yes,9+ dependents,Slightly Reliable,"Yes, all",A few days a week,Average,Yes,"Yes, significantly early",I was eager to write the jamb because its my first time ,Study very hary
248,2,2025,161,Private,Rural,Male,21-23 years,4+ hours,Past questions,Yes,Sometimes,Always,Primary,No,6-8 dependents,Very Reliable,Very few,Daily,Very Poor,Yes,"Yes, significantly early",Nothing ,pray
249,2,2024,207,Public/Government,Rural,Female,15-17 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Often,Tertiary,No,1-2 dependents,Very Reliable,Most of them,Never,Average,No,"Yes, a little early",Access to electricity ,Read and trust God in all you do 
250,1,2023,136,Public/Government,Urban,Male,18-20 years,4+ hours,Past questions,No,Yes,Often,Secondary,No,3-5 dependents,No Access,Some of them,Daily,Poor,No,"Yes, significantly early",Computer and network failure ,Read your books very well and pray a lot and study past questions too
251,2,2022,190,Private,Rural,Male,18-20 years,1-2 hours,"Past questions, Physical tutorials/coaching centers",No,Sometimes,Often,Secondary,Yes,3-5 dependents,Very Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Lack of resource,You can do it
252,1,2024,233,Public/Government,Urban,Female,18-20 years,2-3 hours,Textbooks,Yes,Sometimes,Often,Secondary,Yes,9+ dependents,Moderately Reliable,Some of them,Daily,Poor,No,"Yes, a little early",My system going off whilst the exam was ongoing was the biggest challenge I faced,"If I could give one piece of advice to a future JAMB candidate, it would be to start preparing early and stay consistent. Dont wait until its too close to the exam before you take it seriously. Focus on understanding your subjects, especially the ones youre not strong in, and practice past questions regularly. Also, get familiar with the CBT system so youre not confused on the exam day. Its normal to feel nervous, but dont let fear control you. Trust in your preparation, stay focused, and put your confidence in God. With steady effort and the right mindset, youll be fine."
253,1,2025,188,Public/Government,Rural,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Secondary,Yes,6-8 dependents,Slightly Reliable,Some of them,Never,Poor,Yes,"Yes, a little early","I had to work and read, I was not having enough time to balance the two",Study hard 
254,1,2023,120,Public/Government,Urban,Male,15-17 years,4+ hours,Private lessons,No,No,Often,Secondary,Yes,9+ dependents,Slightly Reliable,Some of them,Most days,Poor,No,"Yes, significantly early",Time,Read your books very well and pray a lot and study past questions too
255,2,2024,217,Public/Government,Urban,Female,21-23 years,4+ hours,Textbooks,No,Sometimes,Often,Tertiary,No,1-2 dependents,Slightly Reliable,Most of them,Daily,Poor,Yes,"Yes, significantly early",My laptop went off all of a sudden,Read consistently and try locating the venue of the exam before the day.
256,1,2022,218,Public/Government,Urban,Female,18-20 years,4+ hours,Textbooks,No,Sometimes,Often,Secondary,No,6-8 dependents,Moderately Reliable,Some of them,Most days,Average,No,"Yes, a little early",Studying English sounds ,"Make a good reading timetable, and make sure you have enough time for your books, also let ur parents know about ur timetable so they won't send you on errands when you are supposed to be reading, for those staying with their guidance, make sure you use any slight opportunity u see to open your books to read "
257,1,2024,115,Private,Rural,Female,15-17 years,1-2 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Yes,Often,Primary,Yes,1-2 dependents,Slightly Reliable,"Yes, all",Rarely,Poor,No,"Yes, significantly early",Network problem ,Study and rest well
258,3,2020,328,Public/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Always,Tertiary,Yes,6-8 dependents,Very Reliable,Most of them,Most days,Poor,Yes,"Yes, significantly early",Distance ,Study hard 
259,2,2024,125,Public/Government,Rural,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",No,No,Always,Primary,No,1-2 dependents,Moderately Reliable,Most of them,A few days a week,Average,Yes,"Yes, significantly early",I had to work and read so it was hard balancing both,Come early 
260,1,2022,144,Public/Government,Rural,Female,15-17 years,4+ hours,Past questions,No,Yes,Often,Primary,No,6-8 dependents,Very Reliable,"Yes, all",Daily,Poor,Yes,"Yes, a little early",Studying English sounds ,Read
261,1,2023,148,Public/Government,Urban,Female,15-17 years,1-2 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Yes,Often,Secondary,No,6-8 dependents,Moderately Reliable,"Yes, all",Daily,Average,Yes,"Yes, a little early",No internet connection at the center ,Study hard 
262,1,2024,103,Private,Rural,Male,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Sometimes,Primary,Yes,1-2 dependents,Very Reliable,"Yes, all",Most days,Poor,No,"Yes, significantly early",Time,Study consistently long before your exam.
263,2,2020,131,Private,Urban,Male,21-23 years,2-3 hours,Textbooks,Yes,Yes,Often,,Yes,3-5 dependents,Very Reliable,Very few,A few days a week,Average,No,"Yes, significantly early","Time management, delay in registration and issues with profile code, not being able to change your email is an error occurred while uploading, hanging computer systems, and lastly disorganization at my JAMB center(We waited for hours before the exam started, and by then, I was already tired and anxious. It affected my concentration a bit, but I had to push through and focus)","Register early, go to jamb centers for jamb lesson, personal reading n most importantly be familiar with your computer n know how to use it"
264,2,2024,210,Public/Government,Urban,Male,15-17 years,2-3 hours,Past questions,No,Yes,Often,,Yes,1-2 dependents,Moderately Reliable,Some of them,Daily,Average,Yes,"Yes, a little early",Fear of what might come out,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
265,1,2024,246,Public/Government,Urban,Male,15-17 years,2-3 hours,Textbooks,No,Yes,Always,Secondary,No,3-5 dependents,No Access,Most of them,Most days,Average,No,"Yes, significantly early",Some of the questions On the CBT wasn't what I expected ,Read hard and study smart
266,2,2022,182,Public/Government,Rural,Male,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Tertiary,Yes,6-8 dependents,Moderately Reliable,"Yes, all",Most days,Average,Yes,"Yes, significantly early",Trying to score everything you read,Study hard and dont be late to your center
267,1,2023,185,Public/Government,Rural,Male,15-17 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Often,,Yes,1-2 dependents,Moderately Reliable,Some of them,Daily,Average,Yes,"Yes, significantly early",Fear of what might come out,Study very hary
268,1,2021,216,Private,Urban,Female,18-20 years,2-3 hours,Past questions,Yes,Yes,Often,Secondary,No,3-5 dependents,No Access,"Yes, all",Most days,Poor,Yes,"Yes, significantly early",My center is far,study harder
269,1,2020,204,Private,Urban,Female,15-17 years,2-3 hours,Past questions,Yes,Sometimes,Often,Tertiary,No,1-2 dependents,Moderately Reliable,Some of them,A few days a week,Poor,No,"Yes, significantly early",The location was difficult to locate and I wasn't familiar with CBT exam.,study hard
270,1,2024,240,Public/Government,Urban,Male,21-23 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,,No,3-5 dependents,Slightly Reliable,No,Most days,Average,Yes,"Yes, significantly early",Studying materials,Study past questions 
271,1,2021,184,Public/Government,Rural,Female,21-23 years,1-2 hours,"Past questions, Textbooks",Yes,Sometimes,Often,Secondary,Yes,1-2 dependents,Slightly Reliable,Most of them,Most days,Poor,Yes,"Yes, significantly early",Some of the questions On the CBT wasn't what I expected ,"Register early, go to jamb centers for jamb lesson, personal reading n most importantly be familiar with your computer n know how to use it"
272,1,2022,249,Public/Government,Rural,Male,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Primary,No,3-5 dependents,Slightly Reliable,"Yes, all",Rarely,Poor,Yes,"Yes, significantly early",Self doubt ,Read your books very well and pray a lot and study past questions too
273,3,2020,171,Private,Rural,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Always,Secondary,No,1-2 dependents,Moderately Reliable,Some of them,A few days a week,Average,Yes,"Yes, significantly early",Studying English sounds ,"Have a syllabus, now that I am in uni and have experienced cbt exams as my normal exams.
I know CBT is about wide range reading and understanding.
There shouldnt be a topic you no nothing about."
274,1,2021,185,Public/Government,Urban,Male,15-17 years,4+ hours,"Past questions, Textbooks, Study groups",No,Sometimes,Often,Tertiary,Yes,3-5 dependents,No Access,"Yes, all",Daily,Average,Yes,"Yes, a little early",Studying English sounds ,study hard and prepare yourself for the exam.
275,1,2023,149,Public/Government,Rural,Female,21-23 years,2-3 hours,Textbooks,Yes,Sometimes,Always,Secondary,Yes,9+ dependents,Moderately Reliable,"Yes, all",Daily,Poor,No,"Yes, a little early",Solving past questions ,Read your books very well and pray a lot and study past questions too
276,1,2024,122,Private,Urban,Male,21-23 years,<1 hour,Past questions,No,Yes,Often,Secondary,No,3-5 dependents,Very Reliable,No,Rarely,Poor,No,"Yes, significantly early",Network problem ,Read and trust God in all you do 
277,3,2022,242,Public/Government,Urban,Female,18-20 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Tertiary,No,6-8 dependents,Slightly Reliable,"Yes, all",A few days a week,Poor,Yes,"Yes, a little early",Meeting up with schedule ,"Start preparing early because there's actually no time to waste
I was told that as well and I felt like there's still much time left and I think that quite affected my score
I started serious preparation like January/February"
278,2,2024,186,Public/Government,Rural,Female,18-20 years,1-2 hours,Past questions,Yes,Yes,Often,Secondary,Yes,3-5 dependents,Slightly Reliable,Most of them,Never,Poor,Yes,"Yes, significantly early",Fear and my system went off while taking the exam. ,Be prepared and do not be afraid 
279,1,2024,126,Public/Government,Urban,Male,21-23 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",Yes,No,Sometimes,Primary,Yes,3-5 dependents,No Access,No,Most days,Average,Yes,"Yes, a little early",I was also working that period ,Study well. 
280,1,2023,238,Private,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,No,Often,Tertiary,Yes,3-5 dependents,Slightly Reliable,"Yes, all",Rarely,Good,No,"Yes, a little early",My laptop went off all of a sudden,Read well
281,1,2024,245,Private,Urban,Female,15-17 years,4+ hours,Physical tutorials/coaching centers,Yes,No,Always,,No,3-5 dependents,Slightly Reliable,No,Daily,Poor,Yes,"Yes, significantly early",The aspect of not knowing one's exams center before the exam's day,Study hard 
282,1,2022,120,Public/Government,Rural,Male,21-23 years,4+ hours,Past questions,Yes,Yes,Often,,Yes,1-2 dependents,Very Reliable,Some of them,A few days a week,Poor,Yes,"Yes, significantly early",Not having enough material for studying ,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
283,1,2023,172,Public/Government,Rural,Female,15-17 years,3-4 hours,"Past questions, Textbooks",Yes,No,Often,Tertiary,Yes,3-5 dependents,Very Reliable,Very few,Daily,Very Poor,Yes,"Yes, significantly early",The location was difficult to locate and I wasn't familiar with CBT exam.,Use every opportunity of your time to study
284,1,2024,136,Public/Government,Rural,Male,18-20 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",No,Sometimes,Always,Tertiary,Yes,1-2 dependents,Moderately Reliable,"Yes, all",Daily,Very Poor,Yes,"Yes, significantly early",Distance ,Let's them  keep praying and stay focus 
285,2,2024,282,Public/Government,Urban,Male,21-23 years,3-4 hours,"Past questions, Physical tutorials/coaching centers",No,Yes,Often,Tertiary,Yes,3-5 dependents,Slightly Reliable,No,Most days,Good,Yes,"Yes, a little early",Cant remember ,"To avoid fear,just be confidence that you can do it"
286,1,2020,142,Public/Government,Urban,Female,15-17 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Sometimes,Often,Primary,No,6-8 dependents,No Access,Most of them,Most days,Very Poor,No,"Yes, significantly early",Meeting up with schedule ,Study past questions it helps alot
287,1,2020,153,Public/Government,Rural,Male,21-23 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Always,Secondary,Yes,1-2 dependents,Moderately Reliable,Most of them,Most days,Average,No,"Yes, significantly early",Having to combine work and study,Come early 
288,1,2024,243,Private,Urban,Female,18-20 years,<1 hour,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Yes,Often,Secondary,No,3-5 dependents,Moderately Reliable,"Yes, all",Rarely,Average,Yes,"Yes, a little early",I didn't face any challenge ,To study and prepare well before taking jamb
